"decmal year", "latitude", "longitude", "bottom depth(m)","recruits per m^2"
1982.57, 41.1333, -66.5333, 89, 7.441403e-03
1982.57, 41.3333, -66.55, 85, 4.748025e-04
1982.57, 41.25, -66.6833, 73, 0.000000e+00
1982.57, 41.4833, -66.5833, 78, 0.000000e+00
1982.57, 41.55, -67.0833, 55, 0.000000e+00
1982.57, 41.55, -66.6833, 72, 0.000000e+00
1982.57, 41.6667, -67, 60, 0.000000e+00
1982.57, 41.8333, -66.5667, 75, 0.000000e+00
1982.57, 41.6833, -66.7, 64, 0.000000e+00
1982.57, 41.75, -66.7333, 62, 0.000000e+00
1982.57, 41.9167, -66.9167, 62, 0.000000e+00
1982.58, 41.9167, -66.7, 65, 4.961855e-02
1982.58, 41.95, -66.7, 72, 4.171696e-02
1982.55, 41.7333, -68.25, 55, 2.837786e-03
1982.55, 41.7667, -68.1667, 63, 2.136457e-03
1982.55, 41.8667, -67.95, 63, 7.121522e-04
1982.58, 42.0333, -67.4833, 38, 1.016069e-03
1982.58, 42, -67.6333, 56, 0.000000e+00
1982.58, 41.9833, -67.75, 55, 0.000000e+00
1982.55, 41.8667, -68, 84, 4.076338e-03
1982.55, 41.8333, -68.0833, 88, 6.967173e-03
1982.55, 41.8, -68.2, 88, 1.611335e-03
1982.55, 41.7667, -68.25, 84, 0.000000e+00
1982.58, 42.0667, -67.5, 80, 0.000000e+00
1982.58, 42, -67.7667, 78, 0.000000e+00
1982.58, 42, -67.3667, 48, 1.619499e-02
1982.58, 41.9, -67.8333, 47, 0.000000e+00
1982.58, 42.0167, -67.1167, 52, 6.557047e-03
1982.58, 41.9667, -67.2167, 48, 5.065203e-03
1982.58, 42, -67.4667, 42, 1.233824e-02
1982.57, 41.6333, -67.7833, 35, 0.000000e+00
1982.57, 41.8, -67.7167, 30, 0.000000e+00
1982.57, 41.8, -67.45, 39, 2.323066e-04
1982.58, 41.9167, -67.6167, 34, 0.000000e+00
1982.57, 41.2667, -67.3333, 43, 0.000000e+00
1982.57, 41.6667, -67.35, 48, 2.236954e-03
1982.57, 41.6, -67.5833, 38, 0.000000e+00
1982.57, 41.55, -67.7, 29, 0.000000e+00
1982.57, 41.8667, -67.1167, 49, 2.100559e-03
1982.57, 41.8667, -67.0667, 45, 0.000000e+00
1982.57, 41.6333, -67.35, 50, 9.436878e-04
1982.57, 41.3167, -67.2, 46, 0.000000e+00
1982.57, 41.5333, -67.1167, 53, 0.000000e+00
1983.61, 40.9833, -70.9667, 48, 4.713972e-03
1983.61, 40.9333, -70.8167, 52, 0.000000e+00
1983.62, 41.2333, -70.45, 33, 0.000000e+00
1983.62, 40.9167, -70.1833, 30, 0.000000e+00
1983.62, 40.7167, -70.1, 44, 0.000000e+00
