UTM-X,UTM-Y,Depth,Lat,Lon
513464,4.47E+06,84.194,40.3929,-68.8414
480128,4.48E+06,77.161,40.4261,-69.2343
444940,4.48E+06,68.9175,40.4579,-69.6494
530132,4.47E+06,91.4206,40.3758,-68.6451
463460,4.48E+06,65.5302,40.4423,-69.4309
426420,4.48E+06,72.2949,40.4732,-69.868
498648,4.47E+06,79.8326,40.4097,-69.0159
481980,4.48E+06,78.4557,40.4262,-69.2124
515316,4.47E+06,81.1919,40.3929,-68.8195
446792,4.48E+06,67.7423,40.4581,-69.6276
465312,4.48E+06,68.4883,40.4423,-69.409
428272,4.48E+06,72.8318,40.4733,-69.8462
531984,4.47E+06,90.4244,40.3757,-68.6232
500500,4.47E+06,79.0169,40.4097,-68.9941
483832,4.48E+06,80.2796,40.4262,-69.1906
517168,4.47E+06,82.2142,40.3928,-68.7977
448644,4.48E+06,66.2274,40.4582,-69.6057
430124,4.48E+06,72.5518,40.4735,-69.8243
467164,4.48E+06,67.3042,40.4424,-69.3872
533836,4.47E+06,90.8517,40.3756,-68.6014
502352,4.47E+06,80.6519,40.4097,-68.9723
485684,4.48E+06,80.8265,40.4263,-69.1688
450496,4.48E+06,66.1926,40.4583,-69.5839
519020,4.47E+06,83.662,40.3928,-68.7759
431976,4.48E+06,72.459,40.4737,-69.8025
469016,4.48E+06,73.4619,40.4425,-69.3654
535688,4.47E+06,92.6483,40.3756,-68.5796
504204,4.47E+06,79.8964,40.4097,-68.9505
487536,4.48E+06,80.6876,40.4263,-69.1469
452348,4.48E+06,64.6412,40.4584,-69.562
433828,4.48E+06,72.2318,40.4738,-69.7806
520872,4.47E+06,84.9687,40.3928,-68.7541
470868,4.48E+06,73.621,40.4426,-69.3435
415308,4.48E+06,68.7903,40.4888,-69.9993
537540,4.47E+06,95.0102,40.3755,-68.5578
454200,4.48E+06,64.4776,40.4585,-69.5402
489388,4.48E+06,82.643,40.4263,-69.1251
506056,4.47E+06,79.0198,40.4097,-68.9286
435680,4.48E+06,71.0215,40.4739,-69.7588
472720,4.48E+06,75.1561,40.4426,-69.3217
522724,4.47E+06,87.1537,40.3927,-68.7323
417160,4.48E+06,69.4903,40.489,-69.9775
456052,4.48E+06,65.7651,40.4586,-69.5183
437532,4.48E+06,70.8692,40.4741,-69.7369
539392,4.47E+06,97.4116,40.3754,-68.536
491240,4.48E+06,80.6966,40.4263,-69.1033
507908,4.47E+06,80.6523,40.4097,-68.9068
474572,4.48E+06,75.1168,40.4427,-69.2998
419012,4.48E+06,69.5989,40.4892,-69.9556
524576,4.47E+06,85.28,40.3927,-68.7104
439384,4.48E+06,70.4487,40.4742,-69.7151
457904,4.48E+06,63.3926,40.4587,-69.4965
493092,4.48E+06,81.1236,40.4264,-69.0814
541244,4.47E+06,99.32,40.3753,-68.5142
509760,4.47E+06,79.3528,40.4096,-68.885
420864,4.48E+06,69.7618,40.4894,-69.9338
476424,4.48E+06,76.5552,40.4427,-69.278
526428,4.47E+06,83.71,40.3926,-68.6886
441236,4.48E+06,70.3969,40.4744,-69.6933
459756,4.48E+06,65.4667,40.4588,-69.4747
494944,4.48E+06,79.1743,40.4264,-69.0596
422716,4.48E+06,70.4048,40.4895,-69.9119
511612,4.47E+06,79.378,40.4096,-68.8631
543096,4.47E+06,101.904,40.3752,-68.4923
478276,4.48E+06,76.4333,40.4428,-69.2562
528280,4.47E+06,91.337,40.3925,-68.6668
443088,4.48E+06,70.0982,40.4745,-69.6714
